Pixel 1,Pixel 1,Pixel 2,Pixel 2,Pixel 3,Pixel 3,Pixel 4,Pixel 4,Pixel 5,Pixel 5,Pixel 6,Pixel 6,Pixel 7,Pixel 7,Pixel 8,Pixel 8
Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density
V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2
0.17875,-0.8453984063745019,0.17881,-0.28187250996015933,0.17878,-0.22123505976095617,0.1788,-0.6647011952191235,0.17881,-0.32330677290836646,0.1788,-0.4061952191235059,0.1788,-0.2228486055776892,0.17876,-0.8578685258964143
0.19888,-0.22531872509960157,0.19886,-0.8821513944223107,0.19887,-0.8326294820717132,0.19885,-0.8180677290836653,0.19888,-0.22790836653386454,0.19889,-0.2682470119521912,0.19884,-0.8119322709163347,0.19891,-0.23215139442231078
0.21857,-0.2814541832669322,0.21856,-0.709183266932271,0.21853,-0.9589442231075698,0.21859,-0.6367131474103586,0.21858,-0.7863745019920317,0.21858,-0.6887250996015936,0.21854,-0.9457171314741036,0.21859,-0.25868525896414346
0.23867,-0.9380278884462152,0.23871,-0.2439840637450199,0.23868,-0.4117729083665338,0.2387,-0.2847211155378486,0.23864,-0.9274501992031872,0.23865,-0.8560956175298805,0.23869,-0.4900996015936255,0.23863,-0.9148406374501992
0.25864,-0.9623306772908365,0.2586,-0.3751195219123506,0.25866,-0.2652988047808765,0.25864,-0.443804780876494,0.25863,-0.5421314741035856,0.25862,-0.6127290836653386,0.25866,-0.3249203187250996,0.25862,-0.9701792828685258
0.27879,-0.32657370517928286,0.27879,-0.9710756972111554,0.27875,-0.6881474103585657,0.27878,-0.960816733067729,0.27878,-0.3776693227091633,0.27877,-0.4372908366533864,0.27878,-0.6136254980079681,0.27879,-0.3470717131474103
0.29878,-0.22721115537848607,0.29875,-0.8938247011952191,0.29876,-0.8596414342629481,0.29878,-0.8550996015936254,0.29877,-0.5378685258964143,0.29876,-0.453605577689243,0.29874,-0.7917729083665338,0.29883,-0.23715139442231076
0.3189,-0.7810956175298805,0.31896,-0.25711155378486056,0.31891,-0.5969123505976095,0.31895,-0.2345219123505976,0.31892,-0.711394422310757,0.31889,-0.6310756972111553,0.31891,-0.6685059760956175,0.31891,-0.737788844621514
0.33888,-0.9283266932270916,0.3389,-0.2307370517928287,0.33889,-0.4206175298804781,0.33891,-0.24625498007968127,0.33887,-0.7700199203187251,0.33887,-0.853824701195219,0.33893,-0.4800199203187251,0.33889,-0.8925298804780877
0.35902,-0.4723306772908366,0.359,-0.8768525896414341,0.359,-0.4502589641434263,0.35899,-0.8870717131474104,0.359,-0.5799601593625499,0.359,-0.6705378486055777,0.35903,-0.42278884462151395,0.35905,-0.5154382470119522
0.379,-0.2995219123505976,0.37897,-0.9530876494023904,0.37896,-0.6268326693227092,0.379,-0.9521713147410359,0.37902,-0.3005577689243028,0.37902,-0.2587250996015936,0.37898,-0.6004382470119523,0.37904,-0.338605577689243
0.39866,-0.5995418326693227,0.39872,-0.37611553784860563,0.39869,-0.8042430278884461,0.39868,-0.3692430278884462,0.39872,-0.4522709163346614,0.39868,-0.40806772908366534,0.39866,-0.8252988047808765,0.3987,-0.5165338645418327
0.4187,-0.7440239043824701,0.41872,-0.2078884462151394,0.41869,-0.5863545816733068,0.41872,-0.21294820717131474,0.41873,-0.8825896414342629,0.41865,-0.9021513944223106,0.4187,-0.6155577689243028,0.41871,-0.6614143426294821
