Pixel 1,Pixel 1,Pixel 2,Pixel 2,Pixel 3,Pixel 3,Pixel 4,Pixel 4,Pixel 5,Pixel 5,Pixel 6,Pixel 6,Pixel 7,Pixel 7,Pixel 8,Pixel 8
Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density
V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2
-0.10163,-3.464342629482071,-0.10163,-3.4615537848605578,-0.10163,-3.45996015936255,-0.10164,-3.458764940239044,-0.10161,-3.4609561752988047,-0.10165,-3.4613545816733065,-0.10165,-3.458167330677291,-0.10167,-3.456573705179283
-0.081716,-3.4631474103585655,-0.081705,-3.461752988047809,-0.081676,-3.45996015936255,-0.08171,-3.4585657370517926,-0.081681,-3.4603585657370513,-0.081713,-3.4603585657370513,-0.081705,-3.4579681274900396,-0.081693,-3.456374501992032
-0.061606,-3.464342629482071,-0.061595,-3.4607569721115534,-0.061587,-3.4597609561752987,-0.061604,-3.4561752988047805,-0.061602,-3.45996015936255,-0.06166,-3.4619521912350595,-0.061594,-3.4595617529880482,-0.061613,-3.457569721115538
-0.041562,-3.462749003984064,-0.041542,-3.4567729083665335,-0.041559,-3.4603585657370513,-0.041549,-3.458764940239044,-0.041549,-3.4625498007968125,-0.041546,-3.4615537848605578,-0.04155,-3.457768924302789,-0.041566,-3.458366533864542
-0.021397,-3.4613545816733065,-0.021393,-3.4595617529880482,-0.021375,-3.461752988047809,-0.021388,-3.4595617529880482,-0.021401,-3.4597609561752987,-0.021412,-3.4609561752988047,-0.021385,-3.4585657370517926,-0.021411,-3.4601593625498004
-0.0012997,-3.462749003984064,-0.0012989,-3.4585657370517926,-0.0013231,-3.456374501992032,-0.0013393,-3.4615537848605578,-0.0013371,-3.45996015936255,-0.0013585,-3.4619521912350595,-0.0013275,-3.461752988047809,-0.0013488,-3.4593625498007965
0.018857,-3.4611553784860556,0.018847,-3.4607569721115534,0.01885,-3.457768924302789,0.01885,-3.458167330677291,0.018839,-3.4611553784860556,0.018837,-3.4611553784860556,0.018852,-3.4603585657370513,0.018833,-3.457370517928287
0.038494,-3.462749003984064,0.038524,-3.4593625498007965,0.038525,-3.462151394422311,0.038525,-3.4607569721115534,0.038546,-3.4593625498007965,0.038516,-3.45996015936255,0.038512,-3.462151394422311,0.038528,-3.4567729083665335
0.058655,-3.4615537848605578,0.058656,-3.456374501992032,0.058684,-3.4591633466135456,0.05866,-3.4601593625498004,0.058637,-3.4595617529880482,0.05862,-3.4595617529880482,0.05863,-3.4619521912350595,0.058644,-3.4593625498007965
0.078642,-3.461752988047809,0.078638,-3.458366533864542,0.078631,-3.45996015936255,0.078637,-3.4603585657370513,0.078628,-3.4609561752988047,0.07859,-3.4597609561752987,0.078597,-3.460557768924303,0.078617,-3.4567729083665335
0.098713,-3.457370517928287,0.098705,-3.4585657370517926,0.098698,-3.45996015936255,0.098676,-3.4619521912350595,0.098682,-3.458366533864542,0.098691,-3.460557768924303,0.098676,-3.4603585657370513,0.098709,-3.4567729083665335
0.11872,-3.460557768924303,0.11872,-3.4595617529880482,0.11874,-3.4597609561752987,0.11869,-3.4593625498007965,0.11871,-3.4595617529880482,0.11871,-3.45996015936255,0.11869,-3.4603585657370513,0.11874,-3.458764940239044
0.13875,-3.4591633466135456,0.13874,-3.4589641434262943,0.13877,-3.458366533864542,0.13872,-3.4585657370517926,0.13875,-3.457768924302789,0.13874,-3.4597609561752987,0.13875,-3.4595617529880482,0.13874,-3.4585657370517926
0.15882,-3.4589641434262943,0.15881,-3.45996015936255,0.15883,-3.458167330677291,0.15882,-3.4589641434262943,0.15882,-3.456374501992032,0.1588,-3.45996015936255,0.15881,-3.4609561752988047,0.15882,-3.456374501992032
