Pixel 1,Pixel 1
Voltage,Current Density
V,mA.cm^-2
1.1461,-0.0062012389380530965
1.1662,-0.006191150442477875
1.1862,-0.0061931858407079645
1.2062,-0.006166814159292035
1.2263,-0.006171504424778761
1.2464,-0.006145486725663716
1.2665,-0.006143539823008849
1.2865,-0.0061154867256637165
1.3066,-0.006120530973451327
1.3266,-0.006099646017699115
1.3467,-0.006100884955752212
1.3667,-0.006079026548672566
1.3868,-0.006075575221238937
1.4068,-0.006057787610619468
1.4269,-0.006056548672566372
1.4469,-0.0060274336283185825
1.467,-0.006029557522123893
1.487,-0.00600433628318584
1.5071,-0.006001858407079647
1.5272,-0.005973274336283186
1.5472,-0.00596787610619469
1.5673,-0.005939557522123893
1.5873,-0.005942035398230088
1.6074,-0.005920176991150442
1.6275,-0.005909203539823008
1.6476,-0.005881858407079645
1.6676,-0.00587362831858407
1.6878,-0.00584575221238938
1.7077,-0.005836637168141592
1.7279,-0.005802300884955752
1.7479,-0.005787610619469026
1.7679,-0.005759823008849557
1.788,-0.0057414159292035385
1.8081,-0.00569646017699115
1.8281,-0.005684867256637168
1.8481,-0.005650619469026548
1.8682,-0.005622831858407079
1.8882,-0.0055945132743362835
1.9083,-0.00556070796460177
1.9283,-0.005524336283185841
1.9484,-0.005493274336283186
1.9684,-0.005432035398230089
1.9885,-0.005399115044247787
2.0085,-0.005336637168141593
2.0286,-0.005293805309734513
2.0485,-0.005239911504424779
2.0686,-0.0051776106194690264
2.0886,-0.005120530973451327
2.1087,-0.005057787610619469
2.129,-0.0049662831858407076
2.1491,-0.0048930088495575215
2.1691,-0.00480929203539823
2.1892,-0.004712831858407079
2.2092,-0.004620707964601769
2.2292,-0.004512123893805309
2.2494,-0.004396902654867256
2.2693,-0.004280884955752212
2.2895,-0.004147787610619468
2.3094,-0.004004513274336283
2.3296,-0.003836371681415929
2.3496,-0.0036716814159292034
2.3697,-0.0034930088495575217
2.3896,-0.0033030088495575216
2.4097,-0.003100176991150442
2.4298,-0.0028725663716814153
2.4498,-0.00263787610619469
2.4699,-0.0023880530973451326
2.4899,-0.002118938053097345
2.5099,-0.0018244247787610618
2.53,-0.0015276106194690264
2.5501,-0.0012169026548672565
2.5701,-0.000865858407079646
2.5902,-0.0005071858407079646
2.6102,-0.00014254867256637167
2.6303,0.00024638938053097345
2.6503,0.0006638849557522123
,
Sweep Time (s),Voltage Rate (V/s)
8.15954875946045,0.5698844552658181
