Wavelength (nm),Counts
479.983,50422.86
480.348,50914.32
480.714,50882.05
481.079,51686.25
481.444,51986.59
481.81,52058.57
482.175,51882.34
482.54,52430.89
482.905,53230.12
483.27,53391.46
483.635,53590.03
484,53880.43
484.365,54560.53
484.73,54667.26
485.095,55240.63
485.459,55364.73
485.824,56084.54
486.189,56091.99
486.553,57169.22
486.918,57241.2
487.283,57804.64
487.647,58268.79
488.012,58735.43
488.376,58767.7
488.74,59154.91
489.105,59437.87
489.469,59857.34
489.833,59941.73
490.198,60549.85
490.562,60554.81
490.926,60840.25
491.29,61068.61
491.654,61095.91
492.018,61361.5
492.382,61249.8
492.746,61391.28
493.11,61843.02
493.474,61803.31
493.837,61915.01
494.201,61493.05
494.565,61780.97
494.928,61947.27
495.292,61550.14
495.656,61269.66
496.019,61282.07
496.383,61346.6
496.746,60882.45
497.109,60837.77
497.473,60425.74
497.836,60222.21
498.199,60234.62
498.563,59859.82
498.926,59296.39
499.289,59050.66
499.652,58988.61
500.015,58521.97
500.378,58013.14
500.741,57755
501.104,57350.42
501.467,57377.72
501.829,56777.05
502.192,56618.2
502.555,56191.27
502.918,56082.06
503.28,55878.53
503.643,55305.16
504.005,54813.71
504.368,54560.53
504.73,54098.86
505.093,54210.55
505.455,53952.42
505.817,53845.68
506.18,53480.82
506.542,52917.38
506.904,53158.14
507.266,52130.55
507.628,52368.83
507.991,51765.68
508.353,51601.86
508.715,50889.5
509.076,50822.48
509.438,50028.21
509.8,50211.88
510.162,49365.49
510.524,49576.47
510.885,49075.08
511.247,48504.2
511.609,48293.22
511.97,48099.61
512.332,48079.76
512.693,47580.85
513.055,47727.3
513.416,47245.77
513.778,47312.79
514.139,47382.29
514.5,47220.95
514.861,47206.06
515.223,47009.97
515.584,46848.63
515.945,46585.53
516.306,47032.31
516.667,46553.26
517.028,46940.47
517.389,46935.51
517.75,46655.03
518.11,47042.24
518.471,46627.73
518.832,46151.16
519.193,47007.49
519.553,46391.93
519.914,46362.14
520.274,46853.6
520.635,46322.43
520.995,45982.38
521.356,46235.55
521.716,46215.7
522.076,45706.86
522.437,46280.23
522.797,45910.4
523.157,45714.31
523.517,45813.6
523.877,45962.52
524.238,46347.25
524.598,46461.42
524.958,46287.68
525.317,46183.43
525.677,46198.32
526.037,45979.9
526.397,46225.62
526.757,45687.01
527.116,46081.66
527.476,46506.1
527.836,46228.11
528.195,46141.23
528.555,46255.41
528.914,46297.61
529.274,46247.96
529.633,46302.57
529.993,46406.82
530.352,46736.94
530.711,46426.68
531.07,45850.83
531.429,46235.55
531.789,46302.57
532.148,46064.29
532.507,46347.25
532.866,46272.78
533.225,46002.24
533.584,46627.73
533.942,46195.84
534.301,46431.64
534.66,46399.37
535.019,46173.5
535.377,46466.39
535.736,46270.3
536.095,46354.69
536.453,46257.89
536.812,45897.99
537.17,46501.14
537.528,46292.64
537.887,46612.83
538.245,46679.85
538.603,46707.15
538.962,46662.48
539.32,46995.08
539.678,46478.8
540.036,46836.22
540.394,46625.24
540.752,47079.47
541.11,47230.88
541.468,47037.27
541.826,46759.28
542.184,47260.66
542.541,46960.33
542.899,46719.56
543.257,47531.21
543.614,46980.18
543.972,46937.99
544.33,47575.89
544.687,47819.14
545.045,48903.82
545.402,49318.33
545.759,49184.29
546.117,48558.8
546.474,47757.08
546.831,47387.25
547.188,47032.31
547.546,47695.03
547.903,47213.5
548.26,46858.56
548.617,47114.22
548.974,47086.91
549.331,46647.58
549.687,46898.27
550.044,46672.4
550.401,47017.42
550.758,47456.75
551.114,46789.06
551.471,46801.47
551.828,46811.4
552.184,47183.72
552.541,47074.5
552.897,47168.82
553.254,47352.5
553.61,46875.94
553.966,47583.34
554.323,47503.91
554.679,47188.68
555.035,47469.16
555.391,47707.44
555.747,47352.5
556.103,47471.64
556.459,47769.49
556.815,47975.51
557.171,47915.94
557.527,47479.09
557.883,47811.69
558.239,48164.15
558.594,47841.47
558.95,47801.76
559.306,48318.04
559.661,48370.16
560.017,48620.86
560.372,48265.91
560.728,47903.53
561.083,48360.23
561.438,48548.87
561.794,48476.89
562.149,48313.07
562.504,48236.13
562.859,48653.12
563.215,48722.62
563.57,48285.77
563.925,48744.96
564.28,48476.89
564.635,49499.52
564.99,48923.67
565.344,48874.03
565.699,49179.33
566.054,49104.87
566.409,49179.33
566.763,49263.72
567.118,49149.54
567.473,49082.53
567.827,49616.18
568.182,49454.84
568.536,49571.5
568.891,49524.34
