Wavelength (nm),Counts
882.635,1326.84
882.941,1252.38
883.246,1249.89
883.552,1336.77
883.858,1319.39
884.164,1393.86
884.469,1336.77
884.775,1279.68
885.08,1344.21
885.386,1349.18
885.691,1242.45
885.996,1383.93
886.302,1393.86
886.607,1321.88
886.912,1304.5
887.217,1381.45
887.522,1346.7
887.827,1436.05
888.132,1361.59
888.437,1366.55
888.742,1396.34
889.046,1354.14
889.351,1428.61
889.656,1416.2
889.96,1458.39
890.265,1468.32
890.569,1490.66
890.874,1374
891.178,1418.68
891.483,1418.68
891.787,1468.32
892.091,1575.05
892.395,1500.59
892.699,1488.18
893.003,1513
893.307,1527.89
893.611,1517.96
893.915,1614.76
894.219,1562.64
894.523,1599.87
894.826,1468.32
895.13,1686.75
895.433,1488.18
895.737,1584.98
896.04,1624.69
896.344,1656.96
896.647,1592.43
896.95,1627.17
897.254,1761.21
897.557,1592.43
897.86,1627.17
898.163,1609.8
898.466,1622.21
898.769,1604.84
899.072,1689.23
899.375,1696.67
899.677,1550.23
899.98,1669.37
900.283,1617.25
900.585,1619.73
900.888,1751.28
901.191,1768.65
901.493,1753.76
901.795,1761.21
902.098,1838.15
902.4,1753.76
902.702,1823.26
903.004,1776.1
903.306,1798.44
903.608,1733.9
903.91,1890.28
904.212,1825.74
904.514,1805.89
904.816,1763.69
905.118,1825.74
905.42,1793.48
905.721,1865.46
906.023,1810.85
906.324,1949.85
906.626,1845.6
906.927,1865.46
907.228,1954.81
907.53,1952.33
907.831,1897.72
908.132,1900.21
908.433,1905.17
908.734,1885.31
909.035,1815.81
909.336,1897.72
909.637,1977.15
909.938,1810.85
910.239,1964.74
910.54,1959.78
910.84,1997.01
911.141,1932.47
911.441,2006.94
911.742,1964.74
912.042,2041.69
912.343,1992.04
912.643,2049.13
912.943,1967.22
913.244,2024.31
913.544,1999.49
913.844,2049.13
914.144,2051.61
914.444,2046.65
914.744,2168.27
915.044,2140.97
915.343,1997.01
915.643,2029.28
915.943,2165.79
916.243,2076.44
916.542,1999.49
916.842,2175.72
917.141,2081.4
917.441,2121.11
917.74,2150.9
918.039,2150.9
918.338,2195.58
918.638,2173.24
918.937,2138.49
919.236,2098.77
919.535,2108.7
919.834,2091.33
920.133,2143.45
920.431,2230.33
920.73,2230.33
921.029,2289.9
921.328,2123.6
921.626,2332.09
921.925,2282.45
922.223,2252.66
922.522,2158.34
922.82,2302.31
923.118,2262.59
923.417,2292.38
923.715,2227.84
924.013,2255.15
924.311,2237.77
924.609,2173.24
924.907,2247.7
925.205,2309.75
925.503,2284.93
925.801,2260.11
926.098,2257.63
926.396,2324.65
926.694,2257.63
926.991,2324.65
927.289,2282.45
927.586,2369.32
927.884,2319.68
928.181,2319.68
928.478,2409.04
928.775,2342.02
929.073,2416.48
929.37,2381.73
929.667,2302.31
929.964,2505.84
930.261,2396.63
930.557,2394.14
930.854,2356.91
931.151,2346.98
931.448,2548.04
931.744,2453.72
932.041,2394.14
932.337,2414
932.634,2543.07
932.93,2500.88
933.227,2572.86
933.523,2478.54
933.819,2473.57
934.115,2384.22
934.412,2525.7
934.708,2478.54
935.004,2490.95
935.3,2548.04
935.595,2493.43
935.891,2548.04
936.187,2570.37
936.483,2620.02
936.778,2535.62
937.074,2394.14
937.369,2570.37
937.665,2629.94
937.96,2436.34
938.256,2617.53
938.551,2557.96
938.846,2595.2
939.141,2530.66
939.437,2414
939.732,2580.3
940.027,2565.41
940.322,2582.78
940.617,2669.66
940.911,2612.57
941.206,2654.77
941.501,2592.71
941.796,2533.14
942.09,2634.91
942.385,2637.39
942.679,2746.6
942.974,2662.21
943.268,2622.5
943.562,2483.5
943.857,2560.45
944.151,2555.48
944.445,2557.96
944.739,2587.75
945.033,2617.53
945.327,2540.59
945.621,2557.96
945.915,2585.27
946.208,2525.7
946.502,2535.62
946.796,2490.95
947.089,2620.02
947.383,2538.11
947.676,2379.25
947.97,2364.36
948.263,2471.09
948.557,2490.95
948.85,2376.77
949.143,2396.63
949.436,2428.89
949.729,2307.27
950.022,2366.84
950.315,2364.36
950.608,2279.97
950.901,2346.98
951.194,2200.54
951.487,2255.15
951.779,2170.76
952.072,2163.31
952.364,2145.93
952.657,2128.56
952.949,2175.72
953.242,2078.92
953.534,2019.35
953.826,1967.22
954.118,1882.83
954.411,1987.08
954.703,1853.05
954.995,1773.62
955.287,1803.4
955.579,1751.28
955.87,1793.48
956.162,1736.39
956.454,1647.03
956.746,1691.71
957.037,1570.09
957.329,1607.32
957.62,1493.14
957.912,1582.5
958.203,1460.87
958.494,1505.55
958.786,1577.53
959.077,1411.23
959.368,1441.02
959.659,1396.34
959.95,1329.32
960.241,1279.68
960.532,1272.23
960.823,1257.34
961.114,1284.64
961.404,1230.04
961.695,1175.43
961.986,1163.02
962.276,1160.54
962.567,1028.99
962.857,1125.79
963.147,1053.81
963.438,1113.38
963.728,942.11
964.018,1021.54
964.308,1058.77
964.598,994.24
964.888,1033.95
965.178,917.29
965.468,832.9
965.758,897.44
966.048,889.99
966.338,885.03
966.627,914.81
966.917,818.01
967.206,880.06
967.496,818.01
967.785,765.88
968.075,785.74
968.364,840.35
968.653,753.47
968.942,805.6
969.232,760.92
969.521,815.53
969.81,708.8
970.099,728.65
970.388,795.67
970.676,728.65
970.965,746.03
971.254,577.24
971.543,696.39
971.831,626.89
972.12,651.71
972.408,686.46
972.697,686.46
972.985,651.71
973.273,696.39
973.561,639.3
973.85,611.99
974.138,572.28
974.426,758.44
974.714,607.03
975.002,656.67
975.29,674.05
975.577,544.98
975.865,527.6
976.153,631.85
976.441,696.39
976.728,485.41
977.016,614.48
977.303,532.57
977.59,604.55
977.878,651.71
978.165,584.69
978.452,589.65
978.74,535.05
979.027,584.69
979.314,564.83
979.601,544.98
979.888,552.42
980.174,554.91
980.461,599.58
980.748,544.98
981.035,579.73
981.321,480.44
981.608,569.8
981.894,616.96
982.181,624.4
982.467,562.35
982.754,527.6
983.04,517.67
983.326,532.57
983.612,659.15
983.898,495.33
984.184,572.28
984.47,611.99
984.756,530.08
985.042,552.42
985.328,525.12
985.614,480.44
985.899,674.05
986.185,542.49
986.47,594.62
986.756,559.87
987.041,463.07
987.327,500.3
987.612,525.12
987.897,530.08
988.182,522.64
988.468,500.3
988.753,547.46
989.038,535.05
989.323,537.53
989.607,525.12
989.892,463.07
990.177,547.46
990.462,535.05
990.746,507.75
991.031,470.51
991.315,505.26
991.6,562.35
991.884,574.76
992.169,552.42
992.453,552.42
992.737,530.08
993.021,460.59
993.305,485.41
993.59,569.8
993.874,450.66
994.157,527.6
994.441,527.6
994.725,520.16
995.009,572.28
995.293,552.42
995.576,492.85
995.86,477.96
996.143,542.49
996.427,554.91
996.71,515.19
996.993,589.65
997.277,453.14
997.56,505.26
997.843,460.59
998.126,520.16
998.409,562.35
998.692,614.48
998.975,549.94
999.258,517.67
999.541,532.57
999.823,535.05
1000.106,554.91
1000.388,477.96
1000.671,542.49
1000.954,535.05
1001.236,470.51
1001.518,520.16
1001.801,557.39
1002.083,569.8
1002.365,554.91
1002.647,502.78
1002.929,517.67
1003.211,557.39
1003.493,502.78
1003.775,564.83
1004.057,525.12
1004.338,477.96
1004.62,522.64
1004.902,530.08
1005.183,584.69
1005.465,500.3
1005.746,453.14
1006.028,500.3
1006.309,527.6
1006.59,579.73
1006.871,502.78
1007.153,525.12
1007.434,502.78
1007.715,567.32
1007.996,487.89
1008.277,485.41
1008.557,510.23
1008.838,549.94
1009.119,512.71
1009.4,458.1
1009.68,515.19
1009.961,577.24
1010.241,527.6
1010.522,450.66
1010.802,532.57
1011.082,520.16
1011.362,517.67
1011.643,537.53
1011.923,557.39
1012.203,549.94
1012.483,453.14
1012.763,537.53
1013.042,636.81
1013.322,577.24
1013.602,577.24
1013.882,510.23
1014.161,497.82
1014.441,463.07
1014.72,473
1015,522.64
1015.279,512.71
1015.558,532.57
1015.838,549.94
1016.117,490.37
1016.396,475.48
1016.675,510.23
1016.954,510.23
1017.233,532.57
1017.512,552.42
1017.791,500.3
1018.07,482.92
1018.348,492.85
1018.627,589.65
1018.905,584.69
1019.184,562.35
1019.462,480.44
1019.741,445.69
1020.019,532.57
1020.297,515.19
1020.576,500.3
1020.854,477.96
1021.132,470.51
1021.41,470.51
1021.688,470.51
