Pixel 1,Pixel 1,Pixel 2,Pixel 2,Pixel 3,Pixel 3,Pixel 4,Pixel 4,Pixel 5,Pixel 5,Pixel 6,Pixel 6,Pixel 7,Pixel 7,Pixel 8,Pixel 8
Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density,Voltage,Current Density
V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2,V,mA.cm^-2
-0.10129,-10.543227091633467,-0.10128,-10.543824701195218,-0.10131,-10.545418326693227,-0.10129,-10.54820717131474,-0.10131,-10.545219123505976,-0.10128,-10.54641434262948,-0.10131,-10.546812749003983,-0.10129,-10.542629482071714
-0.081327,-10.541235059760956,-0.081351,-10.543625498007966,-0.081347,-10.54422310756972,-0.081324,-10.54621513944223,-0.081328,-10.54422310756972,-0.081335,-10.545019920318724,-0.081347,-10.54422310756972,-0.081368,-10.549800796812749
-0.061183,-10.541235059760956,-0.061215,-10.543824701195218,-0.061239,-10.545219123505976,-0.061253,-10.543426294820716,-0.061238,-10.54641434262948,-0.061234,-10.546613545816733,-0.061237,-10.544422310756971,-0.061259,-10.549003984063745
-0.041193,-10.544820717131476,-0.041209,-10.543625498007966,-0.04122,-10.542430278884462,-0.041229,-10.543824701195218,-0.041208,-10.54422310756972,-0.04122,-10.545219123505976,-0.041208,-10.543625498007966,-0.041228,-10.545816733067728
-0.021028,-10.544023904382469,-0.021048,-10.540637450199203,-0.021046,-10.542430278884462,-0.02105,-10.54601593625498,-0.021027,-10.545816733067728,-0.021048,-10.543625498007966,-0.021039,-10.543625498007966,-0.021038,-10.544820717131476
-0.00095447,-10.541832669322709,-0.00096304,-10.542031872509959,-0.0009784,-10.541832669322709,-0.0010455,-10.544422310756971,-0.0010063,-10.54422310756972,-0.0010395,-10.545219123505976,-0.0010377,-10.543625498007966,-0.0010062,-10.54223107569721
0.019215,-10.544422310756971,0.019191,-10.540637450199203,0.019216,-10.542430278884462,0.019191,-10.54422310756972,0.019194,-10.543227091633467,0.019219,-10.544621513944223,0.01919,-10.545418326693227,0.01919,-10.544820717131476
0.038882,-10.541035856573703,0.038861,-10.540637450199203,0.038881,-10.542629482071714,0.038897,-10.54422310756972,0.038863,-10.543027888446217,0.03884,-10.545418326693227,0.038884,-10.541035856573703,0.038856,-10.545816733067728
0.058979,-10.542031872509959,0.058993,-10.537250996015937,0.058992,-10.545019920318724,0.058965,-10.54223107569721,0.059002,-10.543227091633467,0.059019,-10.544621513944223,0.05898,-10.542430278884462,0.058987,-10.544621513944223
0.078978,-10.541434262948206,0.07899,-10.543625498007966,0.078929,-10.54003984063745,0.078974,-10.540637450199203,0.078986,-10.54422310756972,0.079002,-10.54422310756972,0.078973,-10.542430278884462,0.078932,-10.541633466135458
0.099062,-10.541633466135458,0.099094,-10.543625498007966,0.099041,-10.541832669322709,0.099061,-10.545816733067728,0.099064,-10.543227091633467,0.099066,-10.54601593625498,0.099042,-10.541633466135458,0.099065,-10.54223107569721
0.11909,-10.540239043824702,0.11909,-10.541434262948206,0.11908,-10.541035856573703,0.11907,-10.543426294820716,0.11906,-10.542629482071714,0.11908,-10.545019920318724,0.11908,-10.54422310756972,0.11906,-10.542629482071714
0.13911,-10.542430278884462,0.13913,-10.539442231075697,0.1391,-10.539641434262947,0.13911,-10.540637450199203,0.13911,-10.542828685258964,0.13912,-10.540836653386455,0.13912,-10.540637450199203,0.13913,-10.542629482071714
0.15918,-10.537848605577688,0.15918,-10.54003984063745,0.15917,-10.5398406374502,0.15917,-10.542031872509959,0.15916,-10.539243027888444,0.15918,-10.544820717131476,0.15916,-10.54641434262948,0.15918,-10.543227091633467
